id	sha256	bytes	pages	downloaded_on	source_url	publisher	safety_note	rights_note
ag-soil-sare	5c5b002f9d08198fdaea5107d3b6003cf9849b019f2186d2051d1b757bf117f3	14429734	410	2026-08-16	https://www.sare.org/publications/bsbc/bsbc.pdf	USDA SARE	Base amendments on a local soil test; excess nutrients and contaminated amendments can damage soil and water.	Freely distributed by SARE; retain attribution and source metadata.
ag-soil-nrcs	7cc2bfd2f68be745ed7c0c35ff72fc662d3280e89e80b04c1481aabfa7e5d1c5	1849457	88	2026-08-16	https://www.nrcs.usda.gov/sites/default/files/2022-10/Soil%20Quality%20Test%20Kit%20Guide.pdf	USDA NRCS	Field tests are screening tools and do not replace a certified laboratory for contaminants or legal determinations.	U.S. federal government publication.
ag-seed-saving	31a4dbaa2ac16887eb20bd1f8bf9fbe81244f7f851b84ee7af452256bd13763b	5463060	30	2026-08-16	https://seedalliance.org/wp-content/uploads/2010/04/seed_saving_guide.pdf	Organic Seed Alliance	Keep seed dry, cool, labeled, and isolated as required; seed-borne disease and cross-pollination can compromise a crop.	Personal offline reference; review publisher terms before redistribution.
ag-vegetable-cornell	55308c3ba09291f513dcce8d44c093dfd465d137dc47bc31c3d2390425edfc68	966380	23	2026-08-16	https://cropandpestguides.cce.cornell.edu/Preview/2024/2024_Vegetable_Preview.pdf	Cornell Cooperative Extension	Pesticide registrations and labels change; the current label and current New York law always control.	Cornell preview publication; personal offline reference, licensing review required before redistribution.
ag-crop-rotation	1f4ae323023eb4024676dd2748897eb9ab008b99ece8354d6553b05d54dac267	2063680	163	2026-08-16	https://www.sare.org/wp-content/uploads/Crop-Rotation-on-Organic-Farms.pdf	USDA SARE	Adapt rotations to local soil, climate, disease history, labor, and market constraints.	Freely distributed by SARE; retain attribution and source metadata.
ag-field-crops-cornell	a7cafb338f8e7cb97ad50e689d1a68e56431e205fe591ac6552ca3495b350b98	982571	25	2026-08-16	https://cropandpestguides.cce.cornell.edu/Preview/2023/2023_Field_Crops_Preview.pdf	Cornell Cooperative Extension	Varieties, inputs, pesticide registrations, and labels change; verify current local guidance.	Cornell preview publication; personal offline reference, licensing review required before redistribution.
ag-orchards-usda	eeac5958cb431ca091c00a127fa6322da2c73a36e062ea63c9d30cd1adf33509	2004402	4	2026-08-16	https://www.ams.usda.gov/sites/default/files/media/Transitioning%20to%20Organic%20Management%20of%20Orchards_FINAL.pdf	USDA Agricultural Marketing Service	Certification and pesticide requirements change; consult the current certifier and product label.	U.S. federal government publication.
ag-black-walnut-usfs	58e5f444cefb7623c5f491df90eb1f626adeea37c533fdca48f4254346126ea1	1686079	16	2026-08-16	https://research.fs.usda.gov/download/treesearch/44215.pdf	USDA Forest Service	Regional cultivar, disease, site, and pollination conditions control orchard success.	U.S. federal government publication.
ag-irrigation-nrcs	f8aece361dddb2863afef0248e429bb38486e500058575a288991d2a56e4befa	3725235	754	2026-08-16	https://directives.nrcs.usda.gov/sites/default/files2/1720464454/Part%20652%20-%20Irrigation%20Guide.pdf	USDA NRCS	Wells, impoundments, pumps, electrical work, and water rights require qualified design and current local approval.	U.S. federal government publication.
ag-rainwater-twdb	a48771a9a34b266ace9a8bb07d454c3b4a19777a7ca1a36dd12cbf6fcaa3ed54	2436026	88	2026-08-16	https://www.twdb.texas.gov/innovativewater/rainwater/doc/RainwaterHarvestingManual_3rdedition.pdf	Texas Water Development Board	Collected water is not automatically potable; treatment, cross-connection control, and current local code govern.	Public agency publication; retain attribution and review terms before redistribution.
ag-high-tunnels-sare	c3e1c390f5bfafe78d7cb3e21d73063ebf3780099388e70b79456325304c0b91	2794855	4	2026-08-16	https://www.sare.org/wp-content/uploads/High-Tunnels-and-Other-Season-Extension-Techniques.pdf	USDA SARE	Structures must be designed for local wind, snow, anchoring, fire, ventilation, and electrical hazards.	Freely distributed by SARE; retain attribution and source metadata.
ag-hydroponics-usda	1458f9507eda94bfed154032a3aa5daa64c2d4d563515f1f82e5282f1b897a71	5020883	196	2026-08-16	https://www.ams.usda.gov/sites/default/files/media/2016%20Hydroponic%20Task%20Force%20Report.PDF	USDA Agricultural Marketing Service	This policy report is not a nutrient recipe or food-safety plan; verify current production and certification rules.	U.S. federal government publication.
ag-greenhouse-ipm-cornell	ba330a7b348724e954b55cd8b8e996b41b5cc89e64c7f2900cbb22929ca20b08	1414958	33	2026-08-16	https://cropandpestguides.cce.cornell.edu/Preview/2024/2024-25_GH_HO_Preview.pdf	Cornell Cooperative Extension	The current pesticide label, registration, worker protection standard, and New York law always control.	Cornell preview publication; personal offline reference, licensing review required before redistribution.
ag-small-farm-tools	7f07610adb5c9da1a69d5abc75e2332b293dfeca2f82d94d65e718c8b6ff2767	2040240	28	2026-08-16	https://projects.sare.org/media/pdf/e/q/u/equipment-and-tools-for-small-scale-intensive-crop-production-1.pdf	NCAT ATTRA / USDA SARE	Use guards, training, lockout, hearing and eye protection, and the current manufacturer manual.	Freely hosted sustainable-agriculture technical reference; review terms before redistribution.
ag-small-animals-fao	95cabda4f619605f5114ae1d82949e07ea792df38efd2712c4ba5989a056c750	1655350	92	2026-08-16	https://www.fao.org/4/i2469e/i2469e00.pdf	Food and Agriculture Organization of the United Nations	Animal health, welfare, quarantine, slaughter, zoonotic disease, and veterinary requirements vary by place and species.	FAO publication; personal offline reference, review FAO reuse terms before redistribution.
ag-poultry-usda	d640651694cab03ff281e143628ad69f3125ed7b7a77142cf4f41dde9ca92f05	3926967	8	2026-08-16	https://www.ams.usda.gov/sites/default/files/media/Organic%20Poultry%20Production%20for%20Meat%20and%20Eggs_FINAL.pdf	USDA Agricultural Marketing Service	Use current biosecurity, food-safety, welfare, veterinary, processing, and certification requirements.	U.S. federal government publication.
ag-beekeeping-usda	df5c02bc8c51826752bbf3b158e49881dc47085ccd180d93382978e4736642f4	664143	10	2026-08-16	https://www.ars.usda.gov/ARSUserFiles/60500500/PDFFiles/1-100/015-USDA-%20Beekeeping%20in%20the.pdf	USDA Agricultural Research Service	Historical handbook; current disease, mite, pesticide, apiary, allergy, and state requirements control.	U.S. federal government publication.
ag-pasture-sare	7daf383d98600ef2c8ed0475537177cb33e7720cbb70cc71f5d03dec0e7be4e0	5220013	214	2026-08-16	https://western.sare.org/wp-content/uploads/PNW0614.pdf	Pacific Northwest Extension / USDA SARE	Adapt stocking, forage, fencing, water, poisonous-plant, and winter-feed decisions to local conditions.	Extension/SARE publication; retain attribution and review terms before redistribution.
ag-pasture-condition-nrcs	11d31eff00588b5d5ad85e1b5ec99c26f79ebf01eabf5cc7383bef915c44c60d	7930460	20	2026-08-16	https://www.nrcs.usda.gov/sites/default/files/2022-06/National_Pasture_Condition_Scoring_Guide_and_Score_Sheet_-_January_2020.pdf	USDA NRCS	A field score supports planning but does not replace a local conservationist, agronomist, or veterinarian.	U.S. federal government publication.
ag-hardiness-zones-usda	81b3c9353d0fc022f401b868e32e0dd2958200b9ee8a8bcaf3232580670424ba	16326118	1	2026-08-16	https://planthardiness.ars.usda.gov/system/files/National_Map_HZ_36x24_300.pdf	USDA Agricultural Research Service / Oregon State University	Hardiness zones describe average annual extreme minimum temperature, not planting dates or every site microclimate.	Use unaltered with USDA/OSU attribution; map alteration and commercial reuse restrictions may apply.
ag-nyc-planting-cornell	0a8d2c724fccba71b53db4bc9d97a920add2ce0f634876d0b0ec720352bf6ea8	228362	1	2026-08-16	https://harvestny.cce.cornell.edu/uploads/doc_160.pdf	Cornell Cooperative Extension	Dates are regional estimates; weather, frost, microclimate, variety, and current extension guidance control.	Cornell extension handout; personal offline reference, licensing review required before redistribution.
ag-ny-harvest-chart	2bf5de753f8c24345a33fa8f552ac317f98361bdca68bfa02b4dbfb2dcd1210a	154353	2	2026-08-16	https://www.ny.gov/sites/default/files/atoms/files/HarvestChart.pdf	State of New York	Seasonality is approximate and varies by region, cultivar, weather, and storage.	New York State public information; retain attribution and review terms before redistribution.
