id	title	category	pages	pdf	text
atp-3-50.21-us-army-survival-2018	ATP 3 50.21 US Army Survival 2018	Free-PDFs	228	pdfs/ATP-3-50.21-US-Army-Survival-2018.pdf	text/ATP-3-50.21-US-Army-Survival-2018.txt
fema-are-you-ready-citizen-preparedness	Are You Ready? An In-Depth Guide to Citizen Preparedness	Free-PDFs	36	pdfs/FEMA-Are-You-Ready-Citizen-Preparedness.pdf	text/FEMA-Are-You-Ready-Citizen-Preparedness.txt
fema-p-320-taking-shelter-from-the-storm-2025	FEMA P-320	Free-PDFs	89	pdfs/FEMA-P-320-Taking-Shelter-From-The-Storm-2025.pdf	text/FEMA-P-320-Taking-Shelter-From-The-Storm-2025.txt
nuclear-war-survival-skills-1987-authorized	Nuclear War Survival Skills	Free-PDFs	317	pdfs/Nuclear-War-Survival-Skills-1987-Authorized.pdf	text/Nuclear-War-Survival-Skills-1987-Authorized.txt
who-icrc-basic-emergency-care-2018	WHO ICRC Basic Emergency Care 2018	Free-PDFs	240	pdfs/WHO-ICRC-Basic-Emergency-Care-2018.pdf	text/WHO-ICRC-Basic-Emergency-Care-2018.txt
00-introduction	00 Introduction	USDA-Home-Canning	12	pdfs/00-Introduction.pdf	text/00-Introduction.txt
01-principles	01 Principles	USDA-Home-Canning	40	pdfs/01-Principles.pdf	text/01-Principles.txt
02-fruits	02 Fruits	USDA-Home-Canning	32	pdfs/02-Fruits.pdf	text/02-Fruits.txt
03-tomatoes	03 Tomatoes	USDA-Home-Canning	26	pdfs/03-Tomatoes.pdf	text/03-Tomatoes.txt
04-vegetables	04 Vegetables	USDA-Home-Canning	22	pdfs/04-Vegetables.pdf	text/04-Vegetables.txt
05-meat-poultry-seafood	05 Meat Poultry Seafood	USDA-Home-Canning	16	pdfs/05-Meat-Poultry-Seafood.pdf	text/05-Meat-Poultry-Seafood.txt
06-fermented-pickled	06 Fermented Pickled	USDA-Home-Canning	36	pdfs/06-Fermented-Pickled.pdf	text/06-Fermented-Pickled.txt
07-jams-jellies	07 Jams Jellies	USDA-Home-Canning	13	pdfs/07-Jams-Jellies.pdf	text/07-Jams-Jellies.txt
nysdec-hunting-trapping-guide	New York Hunting and Trapping Regulations Guide	Hunting-Regulations	84	pdfs/fieldcraft/NYSDEC-Hunting-Trapping-Regulations-Guide.pdf	text/fieldcraft/nysdec-hunting-trapping-guide.txt
nysdec-trapper-education	New York Trapper Education Manual	Trapping-Skinning-Pelt	113	pdfs/fieldcraft/nysdec-trapper-education-manual.pdf	text/fieldcraft/nysdec-trapper-education.txt
ny-todays-hunter	Today's Hunter in New York Student Manual	Hunting-Firearm-Safety	108	pdfs/fieldcraft/todays-hunter-new-york-manual.pdf	text/fieldcraft/ny-todays-hunter.txt
tpwd-hunter-education	Complete Hunter Education Instructor Manual	Hunting-Firearm-Safety	93	pdfs/fieldcraft/tpwd-complete-hunter-education-manual.pdf	text/fieldcraft/tpwd-hunter-education.txt
tpwd-field-dressing	Now That You've Killed It: Field Dressing and Care	Skinning-Game-Prep	2	pdfs/fieldcraft/tpwd-now-that-you-have-killed-it.pdf	text/fieldcraft/tpwd-field-dressing.txt
osu-venison	Wild Game Food Safety: Venison	Cooking-Game-Food-Safety	4	pdfs/fieldcraft/ohio-state-venison.pdf	text/fieldcraft/osu-venison.txt
tamu-wild-game-storage	Packaging and Storing Wild Game at Home	Cooking-Game-Food-Safety	3	pdfs/fieldcraft/tamu-packaging-storing-wild-game.pdf	text/fieldcraft/tamu-wild-game-storage.txt
nysdec-fishing-regulations	New York Freshwater Fishing Regulations Guide	Fishing-Regulations	100	pdfs/fieldcraft/nysdec-freshwater-fishing-regulations.pdf	text/fieldcraft/nysdec-fishing-regulations.txt
tpwd-learn-to-fish	Learn to Fish: A Basic Guide for the Beginning Angler	Fishing-Safe-Prep	52	pdfs/fieldcraft/tpwd-learn-to-fish.pdf	text/fieldcraft/tpwd-learn-to-fish.txt
tpwd-basic-fly-fishing	Basic Fly Fishing for Students	Fly-Fishing	20	pdfs/fieldcraft/tpwd-basic-fly-fishing-student.pdf	text/fieldcraft/tpwd-basic-fly-fishing.txt
ca-parks-flint-steel	Making Fire with Flint and Steel	Fire-Building	16	pdfs/fieldcraft/california-parks-flint-and-steel.pdf	text/fieldcraft/ca-parks-flint-steel.txt
adfg-wildlife-safety	Wildlife Safety: The Life You Save May Be Your Own	Bear-Wolf-Wildlife-Safety	24	pdfs/fieldcraft/alaska-wildlife-safety.pdf	text/fieldcraft/adfg-wildlife-safety.txt
adfg-wolf-country	Living in Wolf Country	Wolf-Safety	7	pdfs/fieldcraft/alaska-living-in-wolf-country.pdf	text/fieldcraft/adfg-wolf-country.txt
nysdec-wolf-coyote-id	Distinguishing Wolves from Coyotes	Wolf-Coyote-Identification	1	pdfs/fieldcraft/nysdec-distinguishing-wolves-coyotes.pdf	text/fieldcraft/nysdec-wolf-coyote-id.txt
usfs-poison-plants	Outsmarting Poison Ivy and Its Relatives	Plant-Identification	6	pdfs/fieldcraft/usfs-poison-ivy-oak-sumac.pdf	text/fieldcraft/usfs-poison-plants.txt
uaf-outdoor-survival-shelters	Outdoor Survival Training for Alaska's Youth: Instructor and Student Manuals	Shelter-Improvised	157	pdfs/fieldcraft/uaf-outdoor-survival-training-alaska.pdf	text/fieldcraft/uaf-outdoor-survival-shelters.txt
ahfc-log-building-guide	Alaska Log Building Construction Guide	Shelter-Cabin-Construction	199	pdfs/fieldcraft/alaska-log-building-construction-guide.pdf	text/fieldcraft/ahfc-log-building-guide.txt
usfs-building-with-logs	Building with Logs	Shelter-Cabin-Construction	84	pdfs/fieldcraft/usfs-building-with-logs.pdf	text/fieldcraft/usfs-building-with-logs.txt
usfs-log-cabin-decay	Protecting Log Cabins from Decay	Shelter-Cabin-Maintenance	16	pdfs/fieldcraft/usfs-protecting-log-cabins-from-decay.pdf	text/fieldcraft/usfs-log-cabin-decay.txt
uaf-building-challenges-alaska	Building Challenges in Alaska	Shelter-Cold-Climate-Building	8	pdfs/fieldcraft/uaf-building-challenges-alaska.pdf	text/fieldcraft/uaf-building-challenges-alaska.txt
kjv-bible	The King James Version of the Bible	Religion-Christian-KJV	1001	pdfs/society/king-james-version-bible.pdf	text/society/kjv-bible.txt
douay-rheims-bible	The Bible, Douay-Rheims, Complete (Challoner Revision)	Religion-Catholic-Douay-Rheims	1417	pdfs/society/douay-rheims-catholic-bible.pdf	text/society/douay-rheims-bible.txt
eliphas-levi-transcendental-magic	Transcendental Magic: Its Doctrine and Ritual	Religion-Occult-History	454	pdfs/society/eliphas-levi-transcendental-magic.pdf	text/society/eliphas-levi-transcendental-magic.txt
us-founding-documents	U.S. Founding Documents: Declaration, Articles of Confederation, Constitution	Civics-Founding-Documents	32	pdfs/society/us-founding-documents-senate-manual.pdf	text/society/us-founding-documents.txt
us-government-manual-2025	The United States Government Manual, 2025 Edition	Civics-Government-Structure	2035	pdfs/society/us-government-manual-2025.pdf	text/society/us-government-manual-2025.txt
cia-kubark-1963	KUBARK Counterintelligence Interrogation, July 1963	FOIA-Historical-Abuse-Record	131	pdfs/society/cia-kubark-counterintelligence-interrogation-1963.pdf	text/society/cia-kubark-1963.txt
marcus-aurelius-meditations	Meditations	Philosophy-Ethics-Good-Life	145	readers/philosophy/marcus-aurelius-meditations.txt	readers/philosophy/marcus-aurelius-meditations.txt
epictetus-enchiridion	The Enchiridion	Philosophy-Ethics-Good-Life	36	readers/philosophy/epictetus-enchiridion.txt	readers/philosophy/epictetus-enchiridion.txt
epictetus-discourses	The Discourses	Philosophy-Ethics-Good-Life	115	readers/philosophy/epictetus-discourses.txt	readers/philosophy/epictetus-discourses.txt
seneca-moral-letters	Moral Letters to Lucilius	Philosophy-Ethics-Good-Life	1	readers/philosophy/seneca-moral-letters.txt	readers/philosophy/seneca-moral-letters.txt
aristotle-nicomachean-ethics	Nicomachean Ethics	Philosophy-Ethics-Good-Life	245	readers/philosophy/aristotle-nicomachean-ethics.txt	readers/philosophy/aristotle-nicomachean-ethics.txt
epicurus-principal-doctrines	Principal Doctrines	Philosophy-Ethics-Good-Life	1	readers/philosophy/epicurus-principal-doctrines.txt	readers/philosophy/epicurus-principal-doctrines.txt
epicurus-letter-menoeceus	Letter to Menoeceus	Philosophy-Ethics-Good-Life	1	readers/philosophy/epicurus-letter-menoeceus.txt	readers/philosophy/epicurus-letter-menoeceus.txt
cicero-on-duties	On Duties	Philosophy-Ethics-Good-Life	1	readers/philosophy/cicero-on-duties.txt	readers/philosophy/cicero-on-duties.txt
plutarch-moralia	Moralia	Philosophy-Ethics-Good-Life	1	readers/philosophy/plutarch-moralia.txt	readers/philosophy/plutarch-moralia.txt
boethius-consolation	The Consolation of Philosophy	Philosophy-Ethics-Good-Life	119	readers/philosophy/boethius-consolation.txt	readers/philosophy/boethius-consolation.txt
mill-utilitarianism	Utilitarianism	Philosophy-Ethics-Good-Life	59	readers/philosophy/mill-utilitarianism.txt	readers/philosophy/mill-utilitarianism.txt
sidgwick-methods-ethics	The Methods of Ethics	Philosophy-Ethics-Good-Life	458	readers/philosophy/sidgwick-methods-ethics.txt	readers/philosophy/sidgwick-methods-ethics.txt
plato-republic	The Republic	Philosophy-Government-Power	499	readers/philosophy/plato-republic.txt	readers/philosophy/plato-republic.txt
plato-laws	Laws	Philosophy-Government-Power	456	readers/philosophy/plato-laws.txt	readers/philosophy/plato-laws.txt
plato-statesman	Statesman	Philosophy-Government-Power	103	readers/philosophy/plato-statesman.txt	readers/philosophy/plato-statesman.txt
aristotle-politics	Politics	Philosophy-Government-Power	203	readers/philosophy/aristotle-politics.txt	readers/philosophy/aristotle-politics.txt
aristotle-athenian-constitution	The Athenian Constitution	Philosophy-Government-Power	59	readers/philosophy/aristotle-athenian-constitution.txt	readers/philosophy/aristotle-athenian-constitution.txt
more-utopia	Utopia	Philosophy-Government-Power	82	readers/philosophy/more-utopia.txt	readers/philosophy/more-utopia.txt
machiavelli-prince	The Prince	Philosophy-Government-Power	104	readers/philosophy/machiavelli-prince.txt	readers/philosophy/machiavelli-prince.txt
machiavelli-discourses	Discourses on Livy	Philosophy-Government-Power	1	readers/philosophy/machiavelli-discourses.txt	readers/philosophy/machiavelli-discourses.txt
hobbes-leviathan	Leviathan	Philosophy-Government-Power	461	readers/philosophy/hobbes-leviathan.txt	readers/philosophy/hobbes-leviathan.txt
locke-two-treatises	Two Treatises of Government	Philosophy-Government-Power	1	readers/philosophy/locke-two-treatises.txt	readers/philosophy/locke-two-treatises.txt
montesquieu-spirit-laws	The Spirit of Laws	Philosophy-Government-Power	1	readers/philosophy/montesquieu-spirit-laws.txt	readers/philosophy/montesquieu-spirit-laws.txt
rousseau-social-contract	The Social Contract	Philosophy-Government-Power	253	readers/philosophy/rousseau-social-contract.txt	readers/philosophy/rousseau-social-contract.txt
rousseau-inequality	Discourse on Inequality	Philosophy-Government-Power	58	readers/philosophy/rousseau-inequality.txt	readers/philosophy/rousseau-inequality.txt
burke-reflections	Reflections on the Revolution in France	Philosophy-Government-Power	1	readers/philosophy/burke-reflections.txt	readers/philosophy/burke-reflections.txt
paine-common-sense	Common Sense	Philosophy-Government-Power	54	readers/philosophy/paine-common-sense.txt	readers/philosophy/paine-common-sense.txt
paine-rights-man	Rights of Man	Philosophy-Government-Power	197	readers/philosophy/paine-rights-man.txt	readers/philosophy/paine-rights-man.txt
tocqueville-democracy-america	Democracy in America	Philosophy-Government-Power	396	readers/philosophy/tocqueville-democracy-america.txt	readers/philosophy/tocqueville-democracy-america.txt
mill-on-liberty	On Liberty	Philosophy-Government-Power	103	readers/philosophy/mill-on-liberty.txt	readers/philosophy/mill-on-liberty.txt
mill-representative-government	Considerations on Representative Government	Philosophy-Government-Power	187	readers/philosophy/mill-representative-government.txt	readers/philosophy/mill-representative-government.txt
wollstonecraft-rights-woman	A Vindication of the Rights of Woman	Philosophy-Government-Power	13	readers/philosophy/wollstonecraft-rights-woman.txt	readers/philosophy/wollstonecraft-rights-woman.txt
