id	sha256	pages	downloaded_on	source_url	publisher	safety_note
nysdec-hunting-trapping-guide	e6271d2ea49e0b4fa8a45db51ad9914217f31f40829a4c9d29323524cd939845	84	2026-08-16	https://dec.ny.gov/sites/default/files/2024-07/huntingtrappingregsguide.pdf	New York State Department of Environmental Conservation	Regulations change; verify the current season before acting.
nysdec-trapper-education	3773400f3d172e5973d7f74d15ffb52a1067fc2074e11cfbeb4d766747e08d78	113	2026-08-16	https://extapps.dec.ny.gov/docs/wildlife_pdf/trapedman.pdf	New York State Department of Environmental Conservation	Use only lawful and humane methods; regulations change.
ny-todays-hunter	ebe4af6be11f371fbfc26914273822b1e8252c8f485831022c0d98bf99fc8836	108	2026-08-16	https://assets.kalkomey.com/hunter/pdfs/newyork/todays-hunter-ny-manual.pdf	New York State Department of Environmental Conservation curriculum	Training reference; does not replace required certification or current law.
tpwd-hunter-education	82d0a29db9f4752f9c591f0487e3c7c9680cce18d36416869c305c67626b4dcb	93	2026-08-16	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_k0700_0049a.pdf	Texas Parks and Wildlife Department	Training reference; follow local law and manufacturer instructions.
tpwd-field-dressing	63dd8760895d75ee74488f812f9268c0f88fc8125cc86ea2167c734c3462135d	2	2026-08-16	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_lf_k0700_0004.pdf	Texas Parks and Wildlife Department	Food-safety reference; discard suspect meat.
osu-venison	108429f8f81fcb1b3e72e9b63bc90cfe83840840053688fda8fa28ce6b2d438f	4	2026-08-16	https://ohioline.osu.edu/sites/ohioline/files/imce/Family_and_Consumer_Sciences/HYG-5367-Venison-2025-0417B.pdf	Ohio State University Extension	Use current food-safety temperatures and discard contaminated meat.
tamu-wild-game-storage	5a57737aa33a0a65342f9c2f1068911960fab745bafec9fcc1b57435b861e555	3	2026-08-16	https://feralhogs.tamu.edu/files/2022/06/packaging-and-storing-wild-game-at-home.pdf	Texas A&M AgriLife Extension	Food-safety reference; maintain safe temperatures.
nysdec-fishing-regulations	d99263400a34795e57a9a935f44e0cf8612fb30d232cc5dd2f5dcb6474196f97	100	2026-08-16	https://dec.ny.gov/sites/default/files/2024-03/fishguide.pdf	New York State Department of Environmental Conservation	Regulations change; verify the current season before acting.
tpwd-learn-to-fish	e98a90779d012e6677c3d1f448b6dab5ffaccd7124cda14fb96364bf3d6f3594	52	2026-08-16	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_k0700_0639d.pdf	Texas Parks and Wildlife Department	Check local regulations and consumption advisories.
tpwd-basic-fly-fishing	f056e45a7f2972f22c66edd8ab3e9386d522d3ab60caf8713dd43e846266b0ff	20	2026-08-16	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_k0700_0639b.pdf	Texas Parks and Wildlife Department	Check local regulations and water conditions.
ca-parks-flint-steel	70dc3e8a3c2d487f02d6f1838959bdfd771bdfdd0e9c5017b78a2f1df5b69089	16	2026-08-16	https://www.parks.ca.gov/pages/485/files/bakery.pdf	California State Parks	Use only where fires are permitted; fully extinguish all fire.
adfg-wildlife-safety	276af4e382a5f839f6dc396b4ef171d8c3bbba189a8a15231415690c60291b2c	24	2026-08-16	https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/brochures_newsletters/wildlife-safety-life-better-outdoors.pdf	Alaska Department of Fish and Game	Avoidance and species-specific guidance come before weapons.
adfg-wolf-country	a8c56a82827be2c060aae4a0f32d95b8b18d7cc96fbb3ab16fd9db32110dc1ac	7	2026-08-16	https://www.adfg.alaska.gov/static/species/livingwithwildlife/pdfs/living_in_wolf_country.pdf	Alaska Department of Fish and Game	Rare encounters require species-specific behavior; consult current authorities.
nysdec-wolf-coyote-id	7ff8334df66ba3569d2e7f4e2df2dfa7ea139c8efecbfc5bd117a1ec9eb08432	1	2026-08-16	https://dec.ny.gov/sites/default/files/2024-05/distinguishingwolvescoyotes.pdf	New York State Department of Environmental Conservation	Identification reference; wolves are protected in New York.
usfs-poison-plants	c007b2ec8a001efae534433828f128cc16b47adb9dcb045078ef543c3ae992f9	6	2026-08-16	https://www.fs.usda.gov/eng/pubs/pdfpubs/pdf07672313/pdf07672313dpi300.pdf	United States Forest Service	Reference photos are not sufficient for certain identification.
uaf-outdoor-survival-shelters	8cbce2b1ddd9091fb059a9ef1536f144e9b67fbbc3ef4d2cd6e75d2992cda6fe	157	2026-08-16	https://files.eric.ed.gov/fulltext/ED379118.pdf	University of Alaska Fairbanks Alaska Sea Grant / NOAA	Older Alaska curriculum; reassess site, weather, deadfall, flood, avalanche, fire, and ventilation hazards before use.
ahfc-log-building-guide	8c2c9a3ac98375b724ae2b1cf698c6e5b84e660a766d8d6768585b37188d12ed	199	2026-08-16	https://www.ahfc.us/application/files/5613/5716/0253/log_construction_logmanlo.pdf	Alaska Housing Finance Corporation	Historical reference only; permanent structures require current codes, permits, engineering, fire safety, and snow-load review.
usfs-building-with-logs	60e91a9cb35fb3b7247ae00f06ed0f8c201d9ceb6d073535b9b8acde5d29ab7a	84	2026-08-16	https://www.fs.usda.gov/eng/facilities/documents/build_with_logs.pdf	United States Forest Service	Historical reference only; permanent structures require current codes, permits, engineering, fire safety, and snow-load review.
usfs-log-cabin-decay	d2eeea85a770314bf88ce45ebda27c5fd9c852dc2541214cb62fe54a24fa3a84	16	2026-08-16	https://research.fs.usda.gov/download/treesearch/5889.pdf	USDA Forest Service Forest Products Laboratory	Preservation reference; verify current material safety, environmental rules, and structural condition.
uaf-building-challenges-alaska	c787dfcba51c6c48765aab4ff8d0fc57aa571fe0fd84138940630589414388d9	8	2026-08-16	https://www.uaf.edu/ces/publications/database/housing/files/pdfs/HCM-00952.pdf	University of Alaska Fairbanks Cooperative Extension	Cold-climate concepts only; cited codes are dated, so verify current codes and use qualified engineering.
