id	filename	title	category	source_url	publisher	safety_note
nysdec-hunting-trapping-guide	NYSDEC-Hunting-Trapping-Regulations-Guide.pdf	New York Hunting and Trapping Regulations Guide	Hunting-Regulations	https://dec.ny.gov/sites/default/files/2024-07/huntingtrappingregsguide.pdf	New York State Department of Environmental Conservation	Regulations change; verify the current season before acting.
nysdec-trapper-education	nysdec-trapper-education-manual.pdf	New York Trapper Education Manual	Trapping-Skinning-Pelt	https://extapps.dec.ny.gov/docs/wildlife_pdf/trapedman.pdf	New York State Department of Environmental Conservation	Use only lawful and humane methods; regulations change.
ny-todays-hunter	todays-hunter-new-york-manual.pdf	Today's Hunter in New York Student Manual	Hunting-Firearm-Safety	https://assets.kalkomey.com/hunter/pdfs/newyork/todays-hunter-ny-manual.pdf	New York State Department of Environmental Conservation curriculum	Training reference; does not replace required certification or current law.
tpwd-hunter-education	tpwd-complete-hunter-education-manual.pdf	Complete Hunter Education Instructor Manual	Hunting-Firearm-Safety	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_k0700_0049a.pdf	Texas Parks and Wildlife Department	Training reference; follow local law and manufacturer instructions.
tpwd-field-dressing	tpwd-now-that-you-have-killed-it.pdf	Now That You've Killed It: Field Dressing and Care	Skinning-Game-Prep	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_lf_k0700_0004.pdf	Texas Parks and Wildlife Department	Food-safety reference; discard suspect meat.
osu-venison	ohio-state-venison.pdf	Wild Game Food Safety: Venison	Cooking-Game-Food-Safety	https://ohioline.osu.edu/sites/ohioline/files/imce/Family_and_Consumer_Sciences/HYG-5367-Venison-2025-0417B.pdf	Ohio State University Extension	Use current food-safety temperatures and discard contaminated meat.
tamu-wild-game-storage	tamu-packaging-storing-wild-game.pdf	Packaging and Storing Wild Game at Home	Cooking-Game-Food-Safety	https://feralhogs.tamu.edu/files/2022/06/packaging-and-storing-wild-game-at-home.pdf	Texas A&M AgriLife Extension	Food-safety reference; maintain safe temperatures.
nysdec-fishing-regulations	nysdec-freshwater-fishing-regulations.pdf	New York Freshwater Fishing Regulations Guide	Fishing-Regulations	https://dec.ny.gov/sites/default/files/2024-03/fishguide.pdf	New York State Department of Environmental Conservation	Regulations change; verify the current season before acting.
tpwd-learn-to-fish	tpwd-learn-to-fish.pdf	Learn to Fish: A Basic Guide for the Beginning Angler	Fishing-Safe-Prep	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_k0700_0639d.pdf	Texas Parks and Wildlife Department	Check local regulations and consumption advisories.
tpwd-basic-fly-fishing	tpwd-basic-fly-fishing-student.pdf	Basic Fly Fishing for Students	Fly-Fishing	https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_k0700_0639b.pdf	Texas Parks and Wildlife Department	Check local regulations and water conditions.
ca-parks-flint-steel	california-parks-flint-and-steel.pdf	Making Fire with Flint and Steel	Fire-Building	https://www.parks.ca.gov/pages/485/files/bakery.pdf	California State Parks	Use only where fires are permitted; fully extinguish all fire.
adfg-wildlife-safety	alaska-wildlife-safety.pdf	Wildlife Safety: The Life You Save May Be Your Own	Bear-Wolf-Wildlife-Safety	https://www.adfg.alaska.gov/static/home/library/pdfs/wildlife/brochures_newsletters/wildlife-safety-life-better-outdoors.pdf	Alaska Department of Fish and Game	Avoidance and species-specific guidance come before weapons.
adfg-wolf-country	alaska-living-in-wolf-country.pdf	Living in Wolf Country	Wolf-Safety	https://www.adfg.alaska.gov/static/species/livingwithwildlife/pdfs/living_in_wolf_country.pdf	Alaska Department of Fish and Game	Rare encounters require species-specific behavior; consult current authorities.
nysdec-wolf-coyote-id	nysdec-distinguishing-wolves-coyotes.pdf	Distinguishing Wolves from Coyotes	Wolf-Coyote-Identification	https://dec.ny.gov/sites/default/files/2024-05/distinguishingwolvescoyotes.pdf	New York State Department of Environmental Conservation	Identification reference; wolves are protected in New York.
usfs-poison-plants	usfs-poison-ivy-oak-sumac.pdf	Outsmarting Poison Ivy and Its Relatives	Plant-Identification	https://www.fs.usda.gov/eng/pubs/pdfpubs/pdf07672313/pdf07672313dpi300.pdf	United States Forest Service	Reference photos are not sufficient for certain identification.
uaf-outdoor-survival-shelters	uaf-outdoor-survival-training-alaska.pdf	Outdoor Survival Training for Alaska's Youth: Instructor and Student Manuals	Shelter-Improvised	https://files.eric.ed.gov/fulltext/ED379118.pdf	University of Alaska Fairbanks Alaska Sea Grant / NOAA	Older Alaska curriculum; reassess site, weather, deadfall, flood, avalanche, fire, and ventilation hazards before use.
ahfc-log-building-guide	alaska-log-building-construction-guide.pdf	Alaska Log Building Construction Guide	Shelter-Cabin-Construction	https://www.ahfc.us/application/files/5613/5716/0253/log_construction_logmanlo.pdf	Alaska Housing Finance Corporation	Historical reference only; permanent structures require current codes, permits, engineering, fire safety, and snow-load review.
usfs-building-with-logs	usfs-building-with-logs.pdf	Building with Logs	Shelter-Cabin-Construction	https://www.fs.usda.gov/eng/facilities/documents/build_with_logs.pdf	United States Forest Service	Historical reference only; permanent structures require current codes, permits, engineering, fire safety, and snow-load review.
usfs-log-cabin-decay	usfs-protecting-log-cabins-from-decay.pdf	Protecting Log Cabins from Decay	Shelter-Cabin-Maintenance	https://research.fs.usda.gov/download/treesearch/5889.pdf	USDA Forest Service Forest Products Laboratory	Preservation reference; verify current material safety, environmental rules, and structural condition.
uaf-building-challenges-alaska	uaf-building-challenges-alaska.pdf	Building Challenges in Alaska	Shelter-Cold-Climate-Building	https://www.uaf.edu/ces/publications/database/housing/files/pdfs/HCM-00952.pdf	University of Alaska Fairbanks Cooperative Extension	Cold-climate concepts only; cited codes are dated, so verify current codes and use qualified engineering.
