id	sha256	pages	acquired_on	source_url	publisher	rights_status	acquisition_status	resolved_title	resolved_author
marcus-aurelius-meditations	5dcaf98c0147ebbccc59a32293b28ffbf80b6c9e5114b192ff5c5b7023bea22f	145	2026-08-16	https://www.gutenberg.org/ebooks/2680	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Meditations	Marcus Aurelius, Emperor of Rome
epictetus-enchiridion	9ac3cb96f5bd0e21005b6e9ffe8708610246c2bd89da2c1540a96ebcbe0b90c4	36	2026-08-16	https://www.gutenberg.org/ebooks/45109	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Enchiridion	Epictetus
epictetus-discourses	372d2e4b11833073c8eeddd4d6bcc62ebec8f57645a059404d2a2f24bf8fe18b	115	2026-08-16	https://www.gutenberg.org/ebooks/10661	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	A Selection from the Discourses of Epictetus with the Encheiridion	Epictetus
seneca-moral-letters	20a7275a47df59807d987f8e08eb21fd3813c1e3316878f0f3f215a7067c8510	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Moral+letters+Seneca+Lucilius	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Moral Letters to Lucilius	Seneca
aristotle-nicomachean-ethics	9d8b099791b67413e1cbf9465a9bb8323e00ff3b242358674a6ac655bd96137d	245	2026-08-16	https://www.gutenberg.org/ebooks/8438	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Nicomachean ethics of Aristotle	Aristotle
epicurus-principal-doctrines	3cdd37921bd72031d6bbcb9e6788861583cb3598449b6e5550325cb05c5bdeb1	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Principal+Doctrines+Epicurus	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Principal Doctrines	Epicurus
epicurus-letter-menoeceus	3126f1b6d1305e145e33f7cf7e72e3f9d9e4ddbbdf04fc0528db5cc38f263f65	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Letter+to+Menoeceus+Epicurus	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Letter to Menoeceus	Epicurus
cicero-on-duties	0257d8e51dbb9a75babeca43b7aadd90d21f04de073680ce3c16c635a9e8833c	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=On+Duties+Cicero	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	On Duties	Cicero
plutarch-moralia	05dc3eed9b0806b0e68f0a93b0fedea0c86caaf55348e548da9f1fdd9516fda0	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Plutarch+Morals+Moralia	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Moralia	Plutarch
boethius-consolation	0af2fc0c3c70cc089443c74dc2afa021e5979267c2ccfe13dcd16539ad19e45b	119	2026-08-16	https://www.gutenberg.org/ebooks/14328	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Consolation of Philosophy	Boethius
mill-utilitarianism	323be69ca548b4f8b2d649f51101b76cd31a494b94f18e6e5970b922d4aa1520	59	2026-08-16	https://www.gutenberg.org/ebooks/11224	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Utilitarianism	Mill, John Stuart
sidgwick-methods-ethics	67fe3c6e8d7eef8a4049463cfcadfb86c8e23e5c9953363f717aba8f80e346e0	458	2026-08-16	https://www.gutenberg.org/ebooks/46743	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Methods of Ethics	Sidgwick, Henry
plato-republic	d4dbc3f15ab7540ffb94dcae5a9d7423a9173bc04d2ad9b4276aa349193b60e7	499	2026-08-16	https://www.gutenberg.org/ebooks/1497	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Republic	Plato
