id	filename	title	publisher	year	trust_tier	category	scope	source_url	download_method	download_locator	remote_filename	license_note	safety_role
who-herbal-monographs-v1	WHO-Medicinal-Plants-Monographs-Volume-1-1999.pdf	WHO Monographs on Selected Medicinal Plants, Volume 1	World Health Organization	1999	2	monograph	Global medicinal-plant monographs with identity, uses, pharmacology, adverse reactions, contraindications, warnings, and dosage forms	https://www.who.int/publications/i/item/9241545178	who_dspace	10665/42052	9241545178.pdf	WHO copyright; retained locally for personal reference and indexing; redistribution requires review	EVIDENCE_REFERENCE
who-herbal-monographs-v2	WHO-Medicinal-Plants-Monographs-Volume-2-2002.pdf	WHO Monographs on Selected Medicinal Plants, Volume 2	World Health Organization	2002	2	monograph	Global medicinal-plant monographs with identity, uses, pharmacology, adverse reactions, contraindications, warnings, and dosage forms	https://iris.who.int/handle/10665/42052	who_dspace	10665/42052	9241545372.pdf	WHO copyright; retained locally for personal reference and indexing; redistribution requires review	EVIDENCE_REFERENCE
who-herbal-monographs-v3	WHO-Medicinal-Plants-Monographs-Volume-3-2007.pdf	WHO Monographs on Selected Medicinal Plants, Volume 3	World Health Organization	2007	2	monograph	Global medicinal-plant monographs emphasizing evidence categories, adverse reactions, contraindications, and precautions	https://iris.who.int/handle/10665/42052	who_dspace	10665/42052	9789241547024_eng.pdf	WHO copyright; retained locally for personal reference and indexing; redistribution requires review	EVIDENCE_REFERENCE
who-herbal-monographs-v4	WHO-Medicinal-Plants-Monographs-Volume-4-2009.pdf	WHO Monographs on Selected Medicinal Plants, Volume 4	World Health Organization	2009	2	monograph	Global medicinal-plant monographs with cumulative scientific-name and constituent indexes	https://iris.who.int/handle/10665/42052	who_dspace	10665/42052	9789241547055_eng.pdf	WHO copyright; retained locally for personal reference and indexing; redistribution requires review	EVIDENCE_REFERENCE
who-herbal-safety-monitoring	WHO-Herbal-Medicines-Safety-Monitoring-2004.pdf	WHO Guidelines on Safety Monitoring of Herbal Medicines in Pharmacovigilance Systems	World Health Organization	2004	2	safety	Adverse-event causality, reporting, nomenclature, and herbal pharmacovigilance	https://www.who.int/publications-detail-redirect/9241592214	who_dspace	10665/43034	9241592214_eng.pdf	WHO copyright; retained locally for personal reference and indexing; redistribution requires review	SAFETY_GATE
who-herbal-quality-control	WHO-Quality-Control-Methods-for-Herbal-Materials-2011.pdf	Quality Control Methods for Herbal Materials	World Health Organization	2011	2	quality	Identity, sampling, microscopy, foreign matter, moisture, contaminants, and analytical quality control	https://iris.who.int/handle/10665/44479	who_dspace	10665/44479	9789241500739_eng.pdf	WHO copyright; retained locally for personal reference and indexing; redistribution requires review	IDENTITY_AND_QUALITY
who-medicinal-plants-gacp	WHO-Good-Agricultural-and-Collection-Practices-Medicinal-Plants-2003.pdf	WHO Guidelines on Good Agricultural and Collection Practices for Medicinal Plants	World Health Organization	2003	2	collection	Identification, cultivation, wild collection, harvest, personnel hygiene, processing, storage, and documentation	https://www.who.int/publications/i/item/9241546271	who_dspace	10665/42783	9241546271-eng.pdf	WHO copyright; retained locally for personal reference and indexing; redistribution requires review	COLLECTION_SAFETY
who-herbal-contaminants	WHO-Herbal-Medicines-Contaminants-and-Residues-2007.pdf	WHO Guidelines for Assessing Quality of Herbal Medicines with Reference to Contaminants and Residues	World Health Organization	2007	2	quality	Microbial, mycotoxin, pesticide, heavy-metal, arsenic, and radioactive contamination risks	https://iris.who.int/handle/10665/43510	who_dspace	10665/43510	9789241594448_eng.pdf	WHO copyright; retained locally for personal reference and indexing; redistribution requires review	CONTAMINATION_GATE
usda-appalachian-medicinal-plants	USDA-Guide-to-Medicinal-Plants-of-Appalachia-1969.pdf	A Guide to Medicinal Plants of Appalachia	U.S. Department of Agriculture Forest Service	1969	2	identification	Descriptions and illustrations of 126 Appalachian medicinal plants with historical and commercial-use context	https://research.fs.usda.gov/treesearch/4420	http	https://research.fs.usda.gov/download/treesearch/4420.pdf	4420.pdf	USDA government publication; verify any embedded third-party material before redistribution	IDENTIFICATION_AND_TRADITIONAL_USE_ONLY
upstate-ny-poisonous-plants	SUNY-Upstate-New-York-Poisonous-Plants-Guide-2024.pdf	Poisonous Plants Guide	Upstate New York Poison Center, SUNY Upstate Medical University	2024	2	safety	Common poisonous plants in the Upstate New York service area, poison-prevention guidance, and immediate exposure response	https://www.upstate.edu/poison/community/education-materials.php	http	https://www.upstate.edu/poison/pdf/poisonous-plants-brochure.pdf	poisonous-plants-brochure.pdf	Public education material; retain attribution and review terms before redistribution	POISON_IDENTIFICATION_GATE
