id	sha256	pages	acquired_on	source_url	publisher	rights_status	note
nist-handbook-44-2026	f6f782b95f10c559769b1742c4b718622cb61380a007a66279603afa0be72010	592	2026-08-16	https://doi.org/10.6028/NIST.HB.44-2026	National Institute of Standards and Technology	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	Measurement standards for fair exchange; current law and inspection authority still apply.
nist-handbook-130-2026	9a620f08acf76cdbae5f08f768990082bfb914e8be20dd9b8617ee53523558d3	332	2026-08-16	https://doi.org/10.6028/NIST.HB.130-2026	National Institute of Standards and Technology	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	Model laws, method-of-sale rules, packaging, pricing, and fuel-quality reference.
nist-sp-1197-economic-decision-guide	1a75ca6ac55b82755a7ce0ac96cbac29834e7613cc523fea6ed66496bfbcfe9e	69	2026-08-16	https://doi.org/10.6028/NIST.SP.1197	National Institute of Standards and Technology	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	Framework for comparing resilience costs, benefits, timing, and uncertainty.
fema-national-disaster-recovery-framework-2025	d81dd90b174617c5af34de9e8f288b43bcc2a0e3e34b05319c7ceebeb6d22988	61	2026-08-16	https://www.fema.gov/emergency-managers/national-preparedness/frameworks/recovery	Federal Emergency Management Agency	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	National doctrine for organizing inclusive disaster recovery.
fema-whole-community-approach	060b42a044be76a879c9315c50cfa0e78748d7e742c2474a0a6586cc26fa79ee	28	2026-08-16	https://www.fema.gov/emergency-managers/national-preparedness/whole-community	Federal Emergency Management Agency	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	Community participation, needs, capabilities, relationships, and shared responsibility.
fema-community-lifelines-toolkit-2023	97133c286f74b6259cedd8b1320ad91acafbe0adfb24cd8ed8f0527fe95f4b43	66	2026-08-16	https://www.fema.gov/emergency-managers/practitioners/lifelines-toolkit	Federal Emergency Management Agency	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	Framework for restoring safety, food-water-shelter, health, energy, communications, transportation, and hazardous-material lifelines.
fema-continuity-guidance-circular-2026	39a8443bcfc7db782608a039acb090aead17475a536b73e1db448a49c500760c	50	2026-08-16	https://www.fema.gov/emergency-managers/national-preparedness/continuity/circular	Federal Emergency Management Agency	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	Continuity planning for essential functions and organizations; not a grant of legal authority.
nist-community-resilience-planning-v1	d83837a889543e15c4c6d683833577eea1a0e0a2501933000234a39dfe04577f	126	2026-08-16	https://doi.org/10.6028/NIST.SP.1190v1	National Institute of Standards and Technology	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	Six-step community resilience planning process.
nist-community-resilience-planning-v2	4a3b2c997a2dd7e1dc5b5d2356f32dd746d7a63b60b54315f700be3d80268acc	274	2026-08-16	https://doi.org/10.6028/NIST.SP.1190v2	National Institute of Standards and Technology	U.S. GOVERNMENT PUBLICATION / VERIFY EMBEDDED THIRD-PARTY MATERIAL	Reference material for buildings, infrastructure, social institutions, and dependencies.
stlouis-fed-yen-to-trade	6a136b3f7361d9de193e2b48fa841cbdc32655938671218733df2f62a495afb9	148	2026-08-16	https://www.stlouisfed.org/education/a-yen-to-trade	Federal Reserve Bank of St. Louis	COPYRIGHT FRB ST. LOUIS / EDUCATIONAL REPRINT OR PHOTOCOPY PERMISSION WITH CREDIT	Barter, voluntary exchange, value comparison, commodity money, trust, specialization, trade, and the functions of money; retained as an educational framework, not a post-disaster price list.
