id	filename	title	category	source_url	download_url	publisher	note
nist-handbook-44-2026	nist-handbook-44-2026.pdf	NIST Handbook 44: Weighing and Measuring Devices (2026)	Economy-Trade-Measurement	https://doi.org/10.6028/NIST.HB.44-2026	https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=961198	National Institute of Standards and Technology	Measurement standards for fair exchange; current law and inspection authority still apply.
nist-handbook-130-2026	nist-handbook-130-2026.pdf	NIST Handbook 130: Legal Metrology and Fuel Quality (2026)	Economy-Trade-Measurement	https://doi.org/10.6028/NIST.HB.130-2026	https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=961012	National Institute of Standards and Technology	Model laws, method-of-sale rules, packaging, pricing, and fuel-quality reference.
nist-sp-1197-economic-decision-guide	nist-sp-1197-economic-decision-guide.pdf	Community Resilience Economic Decision Guide for Buildings and Infrastructure Systems	Economy-Value-Attribution	https://doi.org/10.6028/NIST.SP.1197	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1197.pdf	National Institute of Standards and Technology	Framework for comparing resilience costs, benefits, timing, and uncertainty.
fema-national-disaster-recovery-framework-2025	fema-national-disaster-recovery-framework-2025.pdf	National Disaster Recovery Framework, Third Edition (Amended 2024)	Rebuilding-Society-Recovery	https://www.fema.gov/emergency-managers/national-preparedness/frameworks/recovery	https://www.fema.gov/sites/default/files/documents/fema_national-disaster-recovery-framework-third-edition_05062025_0.pdf	Federal Emergency Management Agency	National doctrine for organizing inclusive disaster recovery.
fema-whole-community-approach	fema-whole-community-approach.pdf	A Whole Community Approach to Emergency Management	Rebuilding-Society-Community	https://www.fema.gov/emergency-managers/national-preparedness/whole-community	https://www.fema.gov/sites/default/files/2020-07/whole_community_dec2011__2.pdf	Federal Emergency Management Agency	Community participation, needs, capabilities, relationships, and shared responsibility.
fema-community-lifelines-toolkit-2023	fema-community-lifelines-toolkit-2023.pdf	Community Lifelines Implementation Toolkit 2.1	Rebuilding-Society-Lifelines	https://www.fema.gov/emergency-managers/practitioners/lifelines-toolkit	https://www.fema.gov/sites/default/files/documents/fema_lifelines-toolkit-v2.1_2023.pdf	Federal Emergency Management Agency	Framework for restoring safety, food-water-shelter, health, energy, communications, transportation, and hazardous-material lifelines.
fema-continuity-guidance-circular-2026	fema-continuity-guidance-circular-2026.pdf	Continuity Guidance Circular (2018, Updated 2024)	Rebuilding-Society-Continuity	https://www.fema.gov/emergency-managers/national-preparedness/continuity/circular	https://www.fema.gov/sites/default/files/documents/fema_continuity-guidance-circular_02162026.pdf	Federal Emergency Management Agency	Continuity planning for essential functions and organizations; not a grant of legal authority.
nist-community-resilience-planning-v1	nist-community-resilience-planning-volume-1.pdf	Community Resilience Planning Guide, Volume I	Rebuilding-Society-Planning	https://doi.org/10.6028/NIST.SP.1190v1	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1190v1.pdf	National Institute of Standards and Technology	Six-step community resilience planning process.
nist-community-resilience-planning-v2	nist-community-resilience-planning-volume-2.pdf	Community Resilience Planning Guide, Volume II	Rebuilding-Society-Planning	https://doi.org/10.6028/NIST.SP.1190v2	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1190v2.pdf	National Institute of Standards and Technology	Reference material for buildings, infrastructure, social institutions, and dependencies.
stlouis-fed-yen-to-trade	stlouis-fed-yen-to-trade.pdf	A Yen to Trade	Economy-Barter-Money	https://www.stlouisfed.org/education/a-yen-to-trade	https://www.stlouisfed.org/education/-/media/project/frbstl/stlouisfed/education/curriculum/pdf/yen_to_trade_full_curriculum_unit.pdf	Federal Reserve Bank of St. Louis	Barter, voluntary exchange, value comparison, commodity money, trust, specialization, trade, and the functions of money; retained as an educational framework, not a post-disaster price list.
