id	sha256	bytes	pages	downloaded_on	source_url	publisher	safety_note
neets-01-dc	98447e7e348231123430f2bdb4fb70e3c264c0f50ae050840fd9577bd01f8c43	3451390	278	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_01.pdf	U.S. Navy / public-release mirror	Training reference; isolate power and verify absence of voltage before touching conductors.
neets-02-ac	c482df97be962ec024ec444aa66d8a0d2514442ac88b677fdb350693b8862c6e	3293911	244	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_02.pdf	U.S. Navy / public-release mirror	Training reference; mains and stored energy can kill.
neets-03-protection	e2276e14cbdee97ad6efc2631f03fe63dcab6adcacf51f124db2313f75e9d738	2557226	208	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_03.pdf	U.S. Navy / public-release mirror	Use correctly rated protection and test equipment.
neets-04-wiring	2b018aa2bd4b7b856a2a0256c1c1aa29e85e718dc54bf65a5f76cbfb5f02e0e1	1579577	152	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_04.pdf	U.S. Navy / public-release mirror	De-energize, lock out, verify, and follow current wiring codes.
neets-05-motors	a42ea494b22a750989669034f2e3a19dc5ee89bf59660fd76db35f8d471f1ea6	1471028	114	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_05.pdf	U.S. Navy / public-release mirror	Rotating machinery and generated voltage require guards and isolation.
neets-06-emission	8e6d26a30d616b1349363ea8d7cc12f54cd678744948cfab13083be74e6e299c	1879690	198	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_06.pdf	U.S. Navy / public-release mirror	High-voltage power supplies and charged capacitors can remain lethal after shutdown.
neets-07-solid-state	6e5cf82f29360f39f56341041d7cdca5a5a0120c21a554fcd0cc86a0249a30d0	3367823	275	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_07.pdf	U.S. Navy / public-release mirror	Observe ESD, polarity, thermal, and stored-energy precautions.
neets-08-amplifiers	e01284bc636d0526a9904d3a468e85f0190f3c79cad302699e9b7085c726ba2a	10765618	174	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_08.pdf	U.S. Navy / public-release mirror	Verify supply rails and discharge capacitors before service.
neets-09-waveforms	54c8f90d9f5493393dee0aa5e10f59e9e34d9323f1691fdc61be8489ecc0d046	2225747	265	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_09.pdf	U.S. Navy / public-release mirror	Use rated probes and observe instrument ground limits.
neets-10-propagation	02c1baaf444c35e977b53209afb651435a279c8925ce4043efb5ad46941eea4b	2851568	266	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_10.pdf	U.S. Navy / public-release mirror	RF exposure, lightning, and tower work require current controls and trained personnel.
neets-11-microwave	e467249bc1dc3bd287c8c485532b4f6419f0a40b3f7c9f6c0725c5dc01bf56b4	6751347	182	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_11.pdf	U.S. Navy / public-release mirror	Do not defeat RF interlocks; high voltage and microwave exposure can injure or kill.
neets-12-modulation	08db59098305c134fdda303a66069b4f64368109a9b246321fc2830cda7bee3e	2833973	220	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_12.pdf	U.S. Navy / public-release mirror	Theory reference; transmit only where licensed and lawful.
neets-13-logic	f2fc6d953b1c2ab7b79416e1b712fdcf85d17deb7880aac0d04d3d4dc689ea28	1220036	218	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_13.pdf	U.S. Navy / public-release mirror	Verify voltage families and ESD controls before connecting logic devices.
neets-14-microelectronics	9098a6179c323d9ed720d392d2602d7244956302a1c94afbaa5f7f62087ef624	7771626	161	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_14.pdf	U.S. Navy / public-release mirror	Use ventilation and appropriate controls for solder, flux, solvents, and ESD.
neets-15-servos	e187a513df3f04c93bd60a2a29a07f078cb589b7175d70eb4d3f33e439a07b96	2016666	184	2026-08-16	https://cbtricks.net/miscellaneous/tech_publications/neets/neets_part_15.pdf	U.S. Navy / public-release mirror	Unexpected motion and energized control circuits require isolation.
