id	sha256	pages	acquired_on	source_url	local_archive_path	rights_status	note
textfiles-survival-keyword	44556d7b2de944ccbbfe41904122899ebaa6d8baa73c1b9390681878cfc89094	11	2026-08-16	http://textfiles.com/survival/survive.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/survive.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical field notes; compare against current reviewed manuals.
textfiles-survival-planning	27113ac46abdb7600ab5dd74c36f84eb439cd7123227330ce3cae1fff4be71d9	6	2026-08-16	http://textfiles.com/survival/plansurv.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/plansurv.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical preparedness article; law, medicine, and product information may be obsolete.
textfiles-survival-homestead	37c4a54028557890687cc07b171d044fc29d9eb790bf6f14a2337495492dd824	8	2026-08-16	http://textfiles.com/survival/hmestead.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/hmestead.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical homestead planning article; verify current codes and regulations.
textfiles-emergency-water	73b4932eafacf8ec204d911063c6a8712999f9fa09b62ec525c278b8c31e9889	6	2026-08-16	http://textfiles.com/survival/ewater.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/ewater.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical archive source; use current reviewed water guidance for safety decisions.
textfiles-shelter	d49c6ce4c5d248a9b15d52d42cb581bf34a478060cc2adb4d4803e6478542ba3	1	2026-08-16	http://textfiles.com/survival/shelter.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/shelter.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical shelter notes; inspect site, fire, ventilation, weather, and structural hazards.
textfiles-fire-basics	5e394752936de396a0f55f484cc5d90ae6432eacbbb8c7611061e485426b9269	3	2026-08-16	http://textfiles.com/survival/firebas.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/firebas.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical firecraft article; obey current fire restrictions and extinguish fully.
textfiles-firewood	c73ff846ed3ca71fac3d99358654be74c98a1aa431871e413d2d6bc9135af8f7	7	2026-08-16	http://textfiles.com/survival/firewood.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/firewood.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical fuel-wood reference.
textfiles-trail-foods	c6cd49a3bf71ed812019009fb42676f45c927439ab5e9ee7384a783bbe229c5c	7	2026-08-16	http://textfiles.com/survival/trlfds.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/trlfds.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical food article; verify current preservation and food-safety guidance.
textfiles-wool	c8b255ed52c2d44b38a4ccaa33f52c1ebb5120b55214ac2e29082024d8f35b54	3	2026-08-16	http://textfiles.com/survival/wool.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/wool.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical clothing and material reference.
textfiles-winter-driving	a86f8038cd7b748f3d88655b893a6d90044cda3af988b4f4c49dc684d35af172	2	2026-08-16	http://textfiles.com/survival/wintdriv.txt	/Users/premise/Documents/HRF-H2/DEPLOY_TO_H2/COUNTER_INTEL_v2.4.0s_NOT_HARDWARE_TESTED/SDCARD/COUNTER/TEXTFILES/FILES/survival/wintdriv.txt	LOCAL PERSONAL ARCHIVE / RIGHTS UNCLEARED	Historical driving notes; current official road and vehicle guidance takes priority.
