id	title	format	bounds	resolution	source	sha256
ny-3dep-preview	USGS 3DEP New York State Preview	GeoTIFF Float32	-79.7624,40.1206,-71.8562,45.3914	1200x800 preview	https://elevation.nationalmap.gov/arcgis/rest/services/3DEPElevation/ImageServer	e4556e82377ca6b3074dc3bd38e09a2f25dcf098e81d30fe386d58256a268aa6
ny-usgs-hiking-overview	USGS National Digital Trails New York Hiking Overview	GeoPackage MultiLineString	-79.587297,40.503218,-71.856316,45.002629	17392 segments	https://carto.nationalmap.gov/arcgis/rest/services/transportation/MapServer/37	b683633a23017cbc1c6fe1dd11428cea66a0254d775db4c20c547eb49fc93fdb
ny-usgs-railroads	USGS National Map New York Railroads	GeoPackage MultiLineString	-79.761869,40.580877,-71.952815,45.010341	5560 clipped segments	https://carto.nationalmap.gov/arcgis/rest/services/transportation/MapServer/38	0af8048868b2e58ec62b09bf621b3e8419fcb9bba3304662e14330a9ec97ef3a
ny-usgs-routes-preview	USGS New York Terrain with Hiking Trails and Railroads	PNG RGB	-79.7624,40.1206,-71.8562,45.3914	1200x800 rendered overview	https://apps.nationalmap.gov/downloader/	f762a9ff81229c4bd76d618f43fc890bf145e519bc61dd7d4a2d74284adc8bd2
ny-usgs-primary-roads	USGS National Map New York Primary Roads	GeoPackage MultiLineString plus Point	New York State	90 clipped features plus labels	https://carto.nationalmap.gov/arcgis/rest/services/transportation/MapServer/8	8fb37b808b3fe16618ec231d058ef2f778def2d09f1e00607f4569939c8ce467
ny-usgs-towns	USGS GNIS New York Incorporated Places	GeoPackage MultiPoint	New York State	616 features	https://carto.nationalmap.gov/arcgis/rest/services/geonames/MapServer/1	224678d7f46cac653e519144e85a9239e0eb4e65c6feb9f74495a065219cfef4
ny-usgs-hydrography	USGS NHD New York Major Hydrography	GeoPackage mixed	New York State	1026 river segments plus 144 water polygons	https://hydro.nationalmap.gov/arcgis/rest/services/nhd/MapServer	ef5a8551889fe2bc6c072b8d84fbd3f51b2d51e89b1ff202bcd6952b2d4a1d23
fl-3dep-preview	USGS 3DEP Florida State Preview	GeoTIFF Float32	-87.79591,24.3963,-79.87039,31.0009	1200x1000 preview	https://elevation.nationalmap.gov/arcgis/rest/services/3DEPElevation/ImageServer	41c87d051529cf074879ea6d5d6b63290a1b40daa69e7ea8631e466a8060f3b0
fl-usgs-hiking-overview	USGS National Digital Trails Florida Hiking Overview	GeoPackage MultiLineString	-87.513475,24.547858,-80.040437,30.822252	9490 clipped segments	https://carto.nationalmap.gov/arcgis/rest/services/transportation/MapServer/37	41039b0b2be9c6e96099d4614c3a0a4d66f7f612361fe5b661de9b1fba27fe3f
fl-usgs-railroads	USGS National Map Florida Railroads	GeoPackage MultiLineString	-87.506433,25.466196,-80.051166,30.998271	4486 clipped segments	https://carto.nationalmap.gov/arcgis/rest/services/transportation/MapServer/38	fd94803a42ce8f882f90a0176604780f51b15124e9c1edb215ab9f2b96d734ca
fl-usgs-routes-preview	USGS Florida Terrain with Hiking Trails and Railroads	PNG RGB	-87.79591,24.3963,-79.87039,31.0009	1200x1000 rendered overview	https://apps.nationalmap.gov/downloader/	eb2ad5bdd39ce124ede5fdbfbb33d943781038b680595bf2518d86fde1db0335
